1.Region,2.Region,3.Country,year,type,value
America Total,South America Sub-Total,Ecuador,2011,CVs,48515 
America Total,South America Sub-Total,Venezuela,2011,CVs,44377 
America Total,South America Sub-Total,Others,2011,CVs,8104 
Asia Total,Middle East Sub-Total,Egypt,2011,CVs,28659 
Asia Total,Middle East Sub-Total,Iran,2011,CVs,233709 
Asia Total,Middle East Sub-Total,Turkey,2011,CVs,549397 
Africa Total,Africa Sub-Total,Morocco,2011,CVs,4839 
Africa Total,Africa Sub-Total,Nigeria,2011,CVs,-
Africa Total,Africa Sub-Total,S. Africa Rep.,2011,CVs,211240 
Africa Total,Africa Sub-Total,Others,2011,CVs,-
World Total,World Total,World Total,2011,CVs,20548988 
America Total,N. America Sub-Total,Canada,2012,Cars,1040298 
America Total,N. America Sub-Total,U.S.A.,2012,Cars,4109013 
America Total,N. America Sub-Total,Mexico,2012,Cars,1810007 
Europe Total,EU Sub-Total,Austria,2012,Cars,123602 
Europe Total,EU Sub-Total,Belgium,2012,Cars,504616 
Europe Total,EU Sub-Total,Finland,2012,Cars,1254 
Europe Total,EU Sub-Total,France,2012,Cars,1682814 
Europe Total,EU Sub-Total,Germany,2012,Cars,5388459 
Europe Total,EU Sub-Total,Italy,2012,Cars,396817 
Europe Total,EU Sub-Total,Netherlands,2012,Cars,24895 
Europe Total,EU Sub-Total,Portugal,2012,Cars,115735 
Europe Total,EU Sub-Total,Spain,2012,Cars,1539680 
Europe Total,EU Sub-Total,Sweden,2012,Cars,162814 
Europe Total,EU Sub-Total,U.K.,2012,Cars,1464906 
Europe Total,EU Sub-Total,Czech Rep.,2012,Cars,1171774 
Europe Total,EU Sub-Total,Hungary,2012,Cars,229588 
Europe Total,EU Sub-Total,Poland,2012,Cars,533918 
Europe Total,EU Sub-Total,Romania,2012,Cars,326556 
Europe Total,EU Sub-Total,Slovak Rep.,2012,Cars,927188 
Europe Total,EU Sub-Total,Slovenia,2012,Cars,130949 
Europe Total,Other Europe Sub-Total,Russia,2012,Cars,1968789 
Europe Total,Other Europe Sub-Total,Serbia,2012,Cars,25281 
Europe Total,Other Europe Sub-Total,Ukraine,2012,Cars,69687 
Europe Total,Other Europe Sub-Total,Uzbekistan,2012,Cars,210921 
Europe Total,Other Europe Sub-Total,Others,2012,Cars,30121 
Asia Total,Asia & Pacific Sub-Total,China,2012,Cars,15523658 
Asia Total,Asia & Pacific Sub-Total,India,2012,Cars,3321340 
Asia Total,Asia & Pacific Sub-Total,Indonesia,2012,Cars,743501 
Asia Total,Asia & Pacific Sub-Total,Japan,2012,Cars,8552583 
Asia Total,Asia & Pacific Sub-Total,Korea,2012,Cars,4167089 
Asia Total,Asia & Pacific Sub-Total,Malaysia,2012,Cars,509621 
Asia Total,Asia & Pacific Sub-Total,Pakistan,2012,Cars,137424 
Asia Total,Asia & Pacific Sub-Total,Philippines,2012,Cars,26340 
Asia Total,Asia & Pacific Sub-Total,Taiwan,2012,Cars,278043 
Asia Total,Asia & Pacific Sub-Total,Thailand,2012,Cars,957623 
Asia Total,Asia & Pacific Sub-Total,Vietnam,2012,Cars,27292 
Asia Total,Asia & Pacific Sub-Total,Australia,2012,Cars,189949 
America Total,South America Sub-Total,Argentina,2012,Cars,497376 
America Total,South America Sub-Total,Brazil,2012,Cars,2591348 
America Total,South America Sub-Total,Chile,2012,Cars,-
America Total,South America Sub-Total,Colombia,2012,Cars,93829 
America Total,South America Sub-Total,Ecuador,2012,Cars,34544 
America Total,South America Sub-Total,Venezuela,2012,Cars,53797 
America Total,South America Sub-Total,Others,2012,Cars,3994 
Asia Total,Middle East Sub-Total,Egypt,2012,Cars,53475 
Asia Total,Middle East Sub-Total,Iran,2012,Cars,788390 
Asia Total,Middle East Sub-Total,Turkey,2012,Cars,577296 
Africa Total,Africa Sub-Total,Morocco,2012,Cars,103364 
Africa Total,Africa Sub-Total,Nigeria,2012,Cars,-
Africa Total,Africa Sub-Total,S. Africa Rep.,2012,Cars,248923 
Africa Total,Africa Sub-Total,Others,2012,Cars,-
World Total,World Total,World Total,2012,Cars,63470481 
America Total,N. America Sub-Total,Canada,2012,CVs,1423066 
America Total,N. America Sub-Total,U.S.A.,2012,CVs,6226752 
America Total,N. America Sub-Total,Mexico,2012,CVs,1191807 
Europe Total,EU Sub-Total,Austria,2012,CVs,19487 
Europe Total,EU Sub-Total,Belgium,2012,CVs,34232 
Europe Total,EU Sub-Total,Finland,2012,CVs,-
Europe Total,EU Sub-Total,France,2012,CVs,327439 
Europe Total,EU Sub-Total,Germany,2012,CVs,409012 
Europe Total,EU Sub-Total,Italy,2012,CVs,274951 
Europe Total,EU Sub-Total,Netherlands,2012,CVs,65754 
Europe Total,EU Sub-Total,Portugal,2012,CVs,47826 
Europe Total,EU Sub-Total,Spain,2012,CVs,439499 
Europe Total,EU Sub-Total,Sweden,2012,CVs,37500 
Europe Total,EU Sub-Total,U.K.,2012,CVs,112039 
Europe Total,EU Sub-Total,Czech Rep.,2012,CVs,7164 
Europe Total,EU Sub-Total,Hungary,2012,CVs,2400 
Europe Total,EU Sub-Total,Poland,2012,CVs,110796 
Europe Total,EU Sub-Total,Romania,2012,CVs,11209 
Europe Total,EU Sub-Total,Slovak Rep.,2012,CVs,-
Europe Total,EU Sub-Total,Slovenia,2012,CVs,-
Europe Total,Other Europe Sub-Total,Russia,2012,CVs,263383 
Europe Total,Other Europe Sub-Total,Serbia,2012,CVs,233 
Europe Total,Other Europe Sub-Total,Ukraine,2012,CVs,6651 
Europe Total,Other Europe Sub-Total,Uzbekistan,2012,CVs,25280 
Europe Total,Other Europe Sub-Total,Others,2012,CVs,27867 
Asia Total,Asia & Pacific Sub-Total,China,2012,CVs,3748150 
Asia Total,Asia & Pacific Sub-Total,India,2012,CVs,879873 
Asia Total,Asia & Pacific Sub-Total,Indonesia,2012,CVs,322056 
Asia Total,Asia & Pacific Sub-Total,Japan,2012,CVs,1388574 
Asia Total,Asia & Pacific Sub-Total,Korea,2012,CVs,394677 
Asia Total,Asia & Pacific Sub-Total,Malaysia,2012,CVs,59999 
Asia Total,Asia & Pacific Sub-Total,Pakistan,2012,CVs,22247 
Asia Total,Asia & Pacific Sub-Total,Philippines,2012,CVs,49073 
Asia Total,Asia & Pacific Sub-Total,Taiwan,2012,CVs,60995 
Asia Total,Asia & Pacific Sub-Total,Thailand,2012,CVs,1496094 
Asia Total,Asia & Pacific Sub-Total,Vietnam,2012,CVs,53480 
Asia Total,Asia & Pacific Sub-Total,Australia,2012,CVs,31275 
America Total,South America Sub-Total,Argentina,2012,CVs,267119 
America Total,South America Sub-Total,Brazil,2012,CVs,839256 
America Total,South America Sub-Total,Chile,2012,CVs,-
America Total,South America Sub-Total,Colombia,2012,CVs,56102 
America Total,South America Sub-Total,Ecuador,2012,CVs,45072 
America Total,South America Sub-Total,Venezuela,2012,CVs,50286 
America Total,South America Sub-Total,Others,2012,CVs,3094 
Asia Total,Middle East Sub-Total,Egypt,2012,CVs,34421 
Asia Total,Middle East Sub-Total,Iran,2012,CVs,132990 
Asia Total,Middle East Sub-Total,Turkey,2012,CVs,495682 
Africa Total,Africa Sub-Total,Morocco,2012,CVs,5379 
Africa Total,Africa Sub-Total,Nigeria,2012,CVs,-
Africa Total,Africa Sub-Total,S. Africa Rep.,2012,CVs,255252 
Africa Total,Africa Sub-Total,Others,2012,CVs,-
World Total,World Total,World Total,2012,CVs,21755493 
